proposal_created_by,5feimx18jM2hK2rvZnQHRsjhSeCkHAiLeQZDuJkU2fPc
proposal_created_timestamp,1773860275
proposal_created_iso,2026-03-18T18:57:55.000Z
proposal_lifecycle_status,Voting in progress
proposal_lifecycle_updated_timestamp,1774042800
proposal_lifecycle_updated_iso,2026-03-20T21:40:00.000Z
voting_start_timestamp,1773860400
voting_start_iso,2026-03-18T19:00:00.000Z
voting_end_timestamp,1774130400
voting_end_iso,2026-03-21T22:00:00.000Z
proposal_title,APPOINTMENT OF THE NEW GOVERNANCE COUNCIL
proposal_description,"1. Eugenio Benetazzo | @EugenioBenetazo
2. Andrea Savoca Corona | @ASavocaCorona
3. Manuel Rosa | @Happy
4. Andrea Ferrari | @andy_ferrucci
5. Gabriele Fejza | @Gabriele
6. Francesco Cappellani | @xuxien
7. Enrico De Turris | @mr.vinyl"
6BLnFhBd6R241wP9wXjk7JJ9QjvvRmYUtwdp39ENWx66,"q7a9HNrDHuwW1SBPTP76TBSJfhCZyXd8gmaFmmU7gSf
YQs7FA2jznQFPpSbZ177GrLXKjfwJBgy7Fgx3PMrhkB","HSUPr8mcKF6rcRyqq96cYGbTsq3LxhCYvnFKme37njkr
EbrSZZoC2xSjchZKk7XHcMwkNGFeaLuguk2QeKPVdaXf",2.0,0.0,2.0,1773861410,Torrino DAO governance vote:FAVOREVOLE:wallet:6BLnFhBd6R241wP9wXjk7JJ9QjvvRmYUtwdp39ENWx66:timestamp:1773861401804,5easpX61qjxV2UoSyJy7NRgVpBXASBQ994JqnQ17CMJj1Vdbwhry64EcGG3T8wPMz84zU9zRCy3jTX9mZPp95TZU
G3Lr6W2dXExY5bDVBKoNkwZ2RvtoRB7eRyMFimmjBH3K,"H1XSTsRMD9HDLNwUGjLVGexTmQoR2QkpHPTZwZNbdoKV
Gpj816DU1Fn5QdcxEodN6R1EJkJMQPGqC1jS8jHA2tUd
DarYPYNA9GqzDqCAHRg19nFM85Eek7e79GmKbKDz8GNm
DQYS1tzPv8EQU1uv5h8NB9W7a12f68ESMdmK3866norw
D9Fn36w6uaDy3yBkMjsdqtVktVmXe69NC4Z1VaMpK1ni
Bc4R34QvxSGExHQCujLUQiVQ5o4Txg7V8LBFS19uahee
BT9z8dMGZigtDWytc2DbWDP21Fq4ZpTxSwtyn35akmU4
25bSREQQ2AQ6vzTkYq62mHKH7VVGXTg3wLjEtFJ7bWEd","HifPZtsHQvYMb9E49kG7o8E1UeiWdx7R9dFALtBYZPqR
EguSsbfeeyeZCQug5ECwWyt5tQt1sTgrWpGVHJFxpkxy
Ywf1mo4KvGn3SNEzsGnpdBofauKgWkWpjphmJzxiHhn",3.5,0.0,3.5,1773861412,Torrino DAO governance vote:FAVOREVOLE:wallet:G3Lr6W2dXExY5bDVBKoNkwZ2RvtoRB7eRyMFimmjBH3K:timestamp:1773861410165,3LCi3A6jaTZkzxLdZ9yUop2MkFEtWfBvoRRtWJMymryQce9TUk4b5z8Dd33xFJGCPbdTR2znbDZ1xz6XZoB5sKWU
6Wp7e9UzEkeQXvFjdjCJScme2pHm4d5c8N1T7sio4L66,"Bjgjko3H8y6v6nB2QiLqYkVSBFvuxbQLiu6n8Q1B3f8r
A7nMViGfG74rCD7XdmWmVmiKH1UbN6A6AHx3ASEc8VCt
UQts6PUZKnLbAk2xHkCYig2yx1kEZU7PswXSuXQ7M5D","C3ZKSskjC4763Bs2xoBPN8p7pR9i6zbsd5ctMRx8EXM1
4SoVNA2wvKMvogaPjWf5aMB6CrGEmBn8oDMwgohrFgtn
2bXZ9GfLF8dsaPEynPL47johvm2eQdtaUyryAxkkioz5",3.0,0.0,3.0,1773861486,Torrino DAO governance vote:FAVOREVOLE:wallet:6Wp7e9UzEkeQXvFjdjCJScme2pHm4d5c8N1T7sio4L66:timestamp:1773861477871,2jVMmwR9qTfqJkAgYbzKnDXH74H6kVeofJg2jQzkyUR8Khqr2tWXeUrCZkJvwHXU4wx9kFdQu13sHxGXhQKA8DfG
52LnaBBfDyeK8e3LrgBGGkuiJrRKQuHgKdAP5fAuoWFQ,,E6izwrJioGC4LRCHaM8ZncUtNda4cZYhu9SNVcAgYozT,0.9,0.0,0.9,1773861674,Torrino DAO governance vote:FAVOREVOLE:wallet:52LnaBBfDyeK8e3LrgBGGkuiJrRKQuHgKdAP5fAuoWFQ:timestamp:1773861672708,23xusTeacGV8GE7tjyqwcAocgvCSKsneuGWGG4TX6gBcNx6azWZEasd7FKRefzRzfA7z88yzvzgmQT6WyVKUeijG
Fs9FQ9j73To8536p5wKmUJAKGNP9h9NmVs3XmPo1EPnk,"EL1MfCp65W45QiBReXGNXW3GaP9WzJ6QYCVRzSeP37yK
DpPZuZfT73AmULGv56SoS9i265tzz7YBh2m5Ymo3TA54","FMY1947HAjfk5jmUpgjUBekhfgxPB156GbRorU9xBVDH
CTPNcDHRVyk19KjKRZKqoQmtCYxXXVVvFsw6rX13zMEA
APwg8VNLz2QQ5TbDnADicNsSh1W2BeC74PApMpx736Ti
9rtRdrDqNyi8HdcXBQZfhuNTY8Kd4E5WGJ6t2YD8DBgm
8YPXReYqui5oxnHa6FdukhkWZUFtwq4QUeu4N51K9TEW
3S71AQFpAaZfawkg7eq2C1UA6n9X6tieHPhe465dtY2Z",5.6,0.0,5.6,1773861691,Torrino DAO governance vote:FAVOREVOLE:wallet:Fs9FQ9j73To8536p5wKmUJAKGNP9h9NmVs3XmPo1EPnk:timestamp:1773861688590,4gTSdsqYNahVUhHjk7B8kDmeWCWUeu5WDRzY3xqcyJYM1ssfqGf5AjgdE7euSttLQtgxdoxUVtmnGfmUjjnhZHxx
F8RLuF23vJoG9ewEM2shvPTMf9yzGTHv1k92Q6LrAfLf,7Sz35Hr5YLFZ3znHQjZUhBeQMuHPKaGeWSJWevtKnDCN,2wYUQfwzddahiYNYC34VuTxx8ZzvEoZyoe1k5jtmpUiD,0.0,1.0,1.0,1773861719,Torrino DAO governance vote:CONTRARIO:wallet:F8RLuF23vJoG9ewEM2shvPTMf9yzGTHv1k92Q6LrAfLf:timestamp:1773861715689,62xEpfib4jufKK1YyVhFksGfi5R7uTqP6WghSytTJieZMRVbqsYQvmgtAvZqT9W8vyB8tNR4Wv4VrWNYv9TKF24e
FPPCCgSKKiwCWFwx8j9YZ5WBfCFibKEmoRFaSu8mtjep,,HrDvWUUqhRJa4TRCpEWjnXTBe31yWG9nYtj7zReMBF7j,0.9,0.0,0.9,1773861736,Torrino DAO governance vote:FAVOREVOLE:wallet:FPPCCgSKKiwCWFwx8j9YZ5WBfCFibKEmoRFaSu8mtjep:timestamp:1773861735489,BZrDR21hdYCXggSGHWzu9Tb4JeHm3Sq1xkTdreQvf9HY7MZY53CfGdd7EBAvZ8d7TLFQBiRKVQHuN7uCi2qGxaM
Hri97UGBvas69rE429VhVu8BSiGoNvroyEwk2MiWQTy7,3VMDTFaY48R7CW5dfLKNnEVMStQ9exy2kaQ977i6cGFQ,4XnLZfpUCmiRVpG3yxRfJyGVqSP1XT7e8k6M11AqaaiU,1.0,0.0,1.0,1773861810,Torrino DAO governance vote:FAVOREVOLE:wallet:Hri97UGBvas69rE429VhVu8BSiGoNvroyEwk2MiWQTy7:timestamp:1773861808508,4nXKYVEyRcjXak7ibuW4R1wCoY3tHbYVRXjSdZuoyUC1oKCmPTnTToEnJgGCBQmxQP8GxMoqCP2GP9du7K8ybgDV
HHfHTYQv2uzE5o9rnuChNJUxM29tbKfJNBEQacKzjxT1,DvBuDUrSTCXResyWwnhEtY6fzJv6JC4ZzZLeorPKRNmx,,0.1,0.0,0.1,1773861838,Torrino DAO governance vote:FAVOREVOLE:wallet:HHfHTYQv2uzE5o9rnuChNJUxM29tbKfJNBEQacKzjxT1:timestamp:1773861836869,5xLBH57HizWNGSgqmLTZq1k8985gewtepmwR3WLXPpdjQANGRcyhGQHDzdVfu5i1SAkFz3ij86UYqZ1zN6x5GSu5
9xRbx5Bc5KXADD2CDRaBAvuczw7F3cZhuTMhprXDp66V,FyfHBWbU73XWSP9XA8C4qhSUo7s82GQZZkFgGtH28vQB,"E5w8ZXtJ8YUrt7F5bhzGzKPnVrynABm2TaiEr4Ma2ABY
3njkgxJ78YW6rQQGhZ3hVqmdxMFKydc44kdptXbumqi3
tNL8StVzwpGsLKjfZ7Rn5L6oBkkdYL6iSivEaspKK4J",2.8,0.0,2.8,1773861950,Torrino DAO governance vote:FAVOREVOLE:wallet:9xRbx5Bc5KXADD2CDRaBAvuczw7F3cZhuTMhprXDp66V:timestamp:1773861948534,42yn2gCLh5NNPEqRd6LohjnHNJa7Tq9wRUK8kXFyjkN7DFWv11wSZ4f8UKGMwxQWW6vt1FFrNQeK55SBb4xWsH17
